"id","nama","jenis_kelamin","kelas","pernyataan_satu","pernyataan_dua","pernyataan_tiga","pernyataan_empat","pernyataan_lima","pernyataan_enam","pernyataan_tujuh","pernyataan_delapan","pernyataan_sembilan","pernyataan_sepuluh","pernyataan_sebelas","pernyataan_duabelas","pernyataan_tigabelas","pernyataan_empatbelas","pernyataan_limabelas"
"649","Addison Wilkinson","laki-laki","10","SS","S","S","S","TS","STS","STS","TS","S","STS","TS","S","STS","S","STS"
"650","Muriel Keebler DVM","laki-laki","11","STS","STS","SS","STS","S","S","STS","STS","TS","S","S","TS","TS","SS","STS"
"651","Khalil Daugherty","laki-laki","11","S","TS","TS","STS","SS","TS","TS","SS","TS","S","STS","TS","SS","TS","STS"
"652","Willard Reichel","laki-laki","12","STS","TS","S","STS","STS","TS","SS","S","TS","SS","S","TS","SS","S","S"
"653","Gretchen Kuhlman","laki-laki","10","STS","S","TS","STS","SS","TS","STS","SS","STS","SS","TS","TS","SS","SS","SS"
"654","Patsy Blick","laki-laki","12","TS","STS","S","TS","S","SS","S","S","STS","SS","SS","SS","S","STS","TS"
"655","Ruthie Sanford DVM","laki-laki","11","TS","STS","S","SS","TS","S","TS","TS","STS","S","S","STS","SS","SS","STS"
"656","Orland Kuhlman Sr.","laki-laki","11","S","TS","S","TS","SS","TS","STS","S","S","S","STS","S","S","STS","SS"
"657","Eryn Simonis","laki-laki","10","TS","TS","SS","SS","S","S","S","SS","STS","TS","STS","S","STS","S","STS"
"658","Dandre Crist","perempuan","11","SS","TS","S","SS","STS","TS","S","S","TS","STS","STS","TS","TS","SS","STS"
"659","Jerome Fay DVM","perempuan","11","TS","S","S","S","S","STS","S","STS","TS","S","TS","STS","TS","SS","SS"
"660","Rodrigo Cronin","laki-laki","11","SS","SS","TS","S","S","S","STS","S","STS","TS","SS","S","SS","SS","SS"
"661","Bo Wisozk","laki-laki","10","SS","STS","STS","S","SS","SS","SS","S","S","STS","STS","SS","SS","STS","STS"
"662","Bertha Murphy","laki-laki","10","S","TS","STS","TS","TS","STS","SS","S","SS","STS","SS","S","SS","S","TS"
"663","Barbara Kovacek","perempuan","10","S","TS","S","STS","SS","STS","TS","TS","SS","S","TS","S","SS","S","TS"
"664","Halie Feil","perempuan","10","TS","STS","S","STS","S","STS","STS","TS","TS","S","TS","S","TS","TS","S"
"665","Chelsie Hickle V","perempuan","11","STS","SS","STS","STS","SS","STS","S","SS","SS","TS","S","TS","SS","TS","S"
"666","Raymond Kerluke IV","perempuan","12","STS","SS","SS","SS","TS","S","STS","STS","SS","SS","S","TS","STS","S","STS"
"667","Tressa Satterfield Jr.","laki-laki","10","SS","TS","TS","STS","STS","STS","TS","STS","SS","S","TS","TS","SS","S","STS"
"668","Clint Wintheiser","laki-laki","11","S","SS","S","STS","STS","STS","SS","TS","TS","TS","S","S","TS","S","STS"
"669","Billie Effertz","laki-laki","10","SS","STS","SS","SS","S","TS","SS","SS","STS","S","TS","TS","SS","S","S"
"670","Letha Crona","perempuan","11","SS","SS","TS","STS","STS","TS","STS","S","STS","SS","S","SS","TS","TS","STS"
"671","Dandre Kihn","perempuan","10","S","STS","TS","TS","S","TS","TS","STS","TS","TS","TS","TS","TS","TS","S"
"672","Easton Murray","laki-laki","12","SS","SS","TS","STS","TS","S","STS","SS","TS","STS","STS","TS","STS","SS","STS"
"673","Nicholas Pagac","laki-laki","10","TS","STS","SS","S","SS","SS","S","S","TS","S","S","SS","S","TS","TS"
"674","Toni Hirthe","perempuan","12","STS","SS","S","TS","SS","TS","STS","S","S","TS","TS","TS","S","TS","TS"
"675","Vladimir Jaskolski","laki-laki","10","STS","S","S","TS","TS","SS","SS","TS","S","TS","SS","STS","TS","S","S"
"676","Prof. Jerome Daugherty I","laki-laki","10","SS","SS","SS","TS","STS","TS","TS","TS","S","TS","SS","SS","TS","SS","STS"
"677","Yasmin O'Connell","laki-laki","11","STS","S","TS","SS","SS","SS","TS","TS","STS","TS","TS","STS","S","S","TS"
"678","Prof. Helena Blanda","perempuan","12","STS","STS","TS","TS","S","TS","S","TS","S","SS","SS","STS","STS","TS","TS"
"679","Prof. Kiera Daniel","perempuan","12","S","STS","TS","TS","S","S","STS","SS","STS","TS","S","STS","TS","TS","TS"
"680","Prof. Abner Herzog","perempuan","10","TS","SS","TS","TS","S","S","SS","TS","S","TS","S","S","SS","TS","SS"
"681","Samantha King","perempuan","12","SS","STS","SS","STS","S","TS","SS","S","SS","S","S","TS","TS","STS","S"
"682","Watson Schroeder","perempuan","12","S","TS","S","S","TS","STS","SS","TS","STS","STS","TS","SS","SS","TS","TS"
"683","Hilda Block","perempuan","12","S","STS","TS","S","STS","TS","TS","STS","SS","STS","STS","S","STS","S","TS"
"684","Dr. Lon Schinner Jr.","laki-laki","12","S","TS","SS","SS","SS","TS","SS","SS","SS","S","STS","SS","SS","TS","SS"
"685","Ms. Crystal Prosacco","perempuan","12","S","SS","TS","S","SS","TS","STS","STS","S","TS","S","TS","SS","S","SS"
"686","Jaydon Hayes","perempuan","12","SS","SS","SS","STS","STS","TS","TS","S","S","STS","STS","TS","SS","SS","TS"
"687","Miss Delpha Zieme","perempuan","12","TS","SS","S","S","S","TS","SS","SS","STS","SS","TS","S","STS","TS","SS"
"688","Arely Bogan MD","perempuan","10","SS","SS","SS","SS","TS","TS","SS","S","STS","SS","SS","SS","S","S","TS"
"689","Kellie Upton","perempuan","10","STS","TS","SS","SS","TS","SS","SS","S","STS","SS","S","TS","STS","TS","TS"
"690","Elissa Littel","perempuan","12","TS","S","SS","SS","S","STS","S","SS","TS","TS","TS","STS","SS","TS","S"
"691","Amalia Dietrich","perempuan","11","STS","S","TS","S","S","SS","TS","TS","TS","S","TS","STS","TS","S","STS"
"692","Blair Kozey PhD","perempuan","11","S","SS","STS","SS","S","TS","SS","STS","STS","S","S","S","S","SS","SS"
"693","Michele Luettgen","laki-laki","10","STS","S","S","STS","S","S","S","S","STS","S","SS","TS","S","SS","STS"
"694","Anabel Corwin","laki-laki","10","S","S","TS","S","S","TS","STS","TS","SS","S","STS","SS","SS","S","SS"
"695","Quinton O'Hara","perempuan","12","TS","STS","TS","S","TS","S","STS","TS","S","TS","S","TS","STS","STS","STS"
"696","Troy Blanda","laki-laki","12","STS","TS","STS","TS","S","TS","TS","STS","S","S","SS","S","TS","STS","SS"
"697","D'angelo Considine","laki-laki","12","SS","S","TS","S","S","TS","TS","TS","S","S","STS","TS","SS","TS","S"
"698","Kaleb Flatley","perempuan","11","SS","SS","S","SS","SS","STS","S","S","STS","SS","SS","STS","STS","S","S"
"699","Rory Botsford","laki-laki","11","TS","TS","STS","TS","SS","S","S","TS","S","STS","S","STS","SS","TS","STS"
"700","Zella Weissnat","laki-laki","12","S","SS","TS","SS","S","S","S","S","SS","STS","S","S","TS","TS","STS"
"701","Creola Hermiston","perempuan","10","TS","S","STS","TS","SS","SS","TS","SS","STS","S","STS","SS","STS","SS","SS"
"702","Ruthie Parisian DDS","perempuan","10","TS","STS","STS","S","STS","STS","SS","SS","SS","TS","SS","TS","S","SS","TS"
"703","Deron Gutmann","perempuan","11","S","SS","STS","STS","S","SS","SS","TS","S","SS","STS","STS","SS","S","S"
"704","Trace Weber","laki-laki","10","STS","STS","SS","S","SS","TS","STS","SS","TS","TS","STS","TS","TS","TS","STS"
"705","Dr. Olga Muller IV","perempuan","11","STS","S","S","TS","S","SS","STS","STS","TS","SS","STS","SS","SS","STS","S"
"706","Mrs. Tamara Prosacco PhD","perempuan","11","TS","S","STS","TS","S","TS","TS","SS","SS","TS","S","STS","SS","STS","S"
"707","Adelle Metz","perempuan","11","TS","SS","STS","S","SS","STS","S","SS","STS","STS","STS","STS","TS","SS","STS"
"708","Miss Bettie Gerhold DDS","perempuan","12","SS","TS","TS","TS","S","SS","STS","S","S","S","S","S","STS","STS","S"
"709","Carlie Balistreri","perempuan","10","TS","SS","STS","STS","TS","S","SS","S","S","STS","SS","TS","STS","S","TS"
"710","Dr. Reagan Carroll IV","laki-laki","11","TS","S","TS","SS","TS","TS","STS","TS","S","SS","STS","SS","TS","SS","STS"
"711","Estrella Lesch MD","laki-laki","11","TS","TS","S","STS","TS","SS","STS","SS","SS","S","TS","TS","TS","SS","TS"
"712","Justine Batz","perempuan","12","STS","STS","S","TS","STS","STS","STS","SS","SS","TS","SS","S","STS","TS","STS"
"713","Prof. Felix Zieme II","laki-laki","10","STS","STS","SS","S","TS","TS","TS","S","STS","S","S","SS","TS","SS","TS"
"714","Prof. Marcelo Senger III","laki-laki","10","TS","SS","SS","STS","SS","S","S","S","S","TS","TS","STS","TS","STS","SS"
"715","Mikel Olson","perempuan","12","S","SS","STS","TS","SS","TS","TS","STS","S","STS","TS","S","STS","SS","SS"
"716","Thalia Roob","laki-laki","11","TS","SS","STS","SS","TS","STS","TS","TS","STS","S","SS","STS","TS","TS","S"
"717","Stevie Walker","perempuan","11","SS","S","TS","TS","TS","S","TS","S","STS","S","STS","TS","SS","SS","TS"
"718","Dr. Jerrell Rau","laki-laki","11","STS","TS","SS","S","SS","SS","TS","S","S","SS","S","S","S","SS","TS"
"719","Frederique Herman","laki-laki","11","S","TS","TS","TS","S","TS","SS","TS","SS","TS","S","SS","STS","TS","TS"
"720","Olga Murphy","laki-laki","11","TS","S","STS","STS","TS","S","TS","S","STS","STS","TS","SS","TS","SS","SS"
"721","Rollin Heathcote","laki-laki","11","S","SS","SS","TS","STS","SS","SS","S","STS","SS","S","TS","SS","TS","STS"
"722","Idell Kutch","perempuan","10","STS","STS","SS","S","TS","TS","SS","TS","S","TS","S","SS","SS","TS","SS"
"723","Einar Weber","laki-laki","10","SS","SS","STS","S","TS","SS","STS","STS","SS","TS","TS","S","S","STS","TS"
"724","Josue Jacobs","perempuan","12","SS","S","TS","STS","SS","TS","S","SS","S","S","S","SS","TS","STS","STS"
"725","Danial Harber","perempuan","11","TS","TS","STS","S","SS","STS","TS","SS","TS","STS","SS","S","SS","S","S"
"726","Catharine Russel","laki-laki","10","SS","TS","S","STS","TS","S","SS","TS","SS","STS","SS","SS","STS","S","STS"
"727","Raphaelle Corkery","perempuan","11","TS","SS","TS","SS","SS","SS","TS","STS","SS","STS","TS","SS","STS","S","TS"
"728","Dr. Fatima Powlowski","perempuan","11","S","STS","S","SS","SS","S","TS","STS","SS","SS","S","S","SS","STS","SS"
"729","Rosendo Krajcik Jr.","perempuan","12","SS","TS","SS","S","SS","TS","TS","S","TS","SS","S","STS","SS","STS","S"
"730","Brendan Grant","perempuan","11","SS","S","STS","STS","STS","STS","S","S","STS","TS","SS","SS","TS","STS","TS"
"731","Anahi Wiegand II","perempuan","10","TS","SS","TS","STS","STS","SS","SS","S","STS","STS","TS","SS","SS","SS","SS"
"732","Prof. Jake Metz Jr.","perempuan","11","S","TS","S","TS","TS","SS","STS","S","S","SS","S","SS","S","STS","STS"
"733","Frederique Feest","laki-laki","12","TS","TS","STS","TS","STS","TS","SS","STS","SS","SS","SS","TS","S","STS","STS"
"734","Dr. Albert Bartoletti Sr.","perempuan","11","STS","TS","STS","STS","S","TS","STS","STS","SS","SS","SS","TS","TS","S","STS"
"735","Jevon Murphy","perempuan","12","TS","STS","STS","STS","TS","S","SS","STS","SS","TS","STS","SS","SS","SS","S"
"736","Mr. Arvid Kling","laki-laki","11","S","STS","TS","STS","S","S","STS","STS","STS","TS","TS","TS","SS","TS","TS"
"737","Mr. Efren Erdman","perempuan","10","TS","STS","SS","TS","TS","S","STS","TS","SS","S","SS","SS","S","SS","SS"
"738","Dr. Kenyon Fay Jr.","laki-laki","11","TS","S","SS","S","SS","SS","STS","TS","STS","S","TS","SS","S","SS","STS"
"739","Prof. Annetta Gleichner II","perempuan","10","SS","SS","STS","TS","SS","S","S","S","STS","TS","STS","S","S","TS","STS"
"740","Ian Corwin","laki-laki","11","SS","S","TS","STS","S","TS","STS","STS","STS","S","STS","STS","TS","STS","STS"
"741","Mrs. Hattie Ebert IV","laki-laki","10","SS","STS","TS","STS","STS","TS","TS","SS","STS","SS","TS","STS","TS","SS","S"
"742","Shirley Reynolds","perempuan","12","STS","S","STS","S","TS","S","TS","S","SS","STS","TS","S","STS","STS","STS"
"743","Emilia Corkery","laki-laki","11","STS","TS","S","SS","TS","STS","S","SS","SS","STS","TS","S","TS","SS","TS"
"744","Darrick Kiehn","laki-laki","10","TS","STS","TS","STS","STS","TS","TS","STS","SS","SS","S","SS","SS","STS","STS"
"745","Efren Willms","perempuan","11","SS","TS","SS","S","TS","STS","S","STS","TS","SS","SS","SS","S","S","STS"
"746","Miss Kaylie Casper","laki-laki","12","S","SS","TS","STS","SS","S","SS","SS","TS","STS","S","S","S","STS","S"
"747","Colt Kovacek","laki-laki","12","SS","TS","STS","SS","STS","SS","S","S","STS","STS","TS","S","SS","SS","STS"
"748","Mervin Pacocha","perempuan","12","SS","SS","SS","SS","SS","SS","TS","SS","S","STS","STS","TS","S","TS","S"
"749","Caterina Green","perempuan","11","TS","SS","S","SS","S","STS","TS","TS","SS","TS","S","STS","S","SS","S"
"750","Lyda Emard","perempuan","11","TS","S","STS","S","S","TS","STS","STS","S","TS","TS","S","S","TS","SS"
"751","Scot Schmidt","perempuan","12","SS","S","STS","S","S","S","S","S","STS","STS","S","S","STS","STS","TS"
"752","Tyrel Ward","laki-laki","12","S","S","S","S","SS","TS","S","SS","S","TS","S","STS","SS","S","TS"
"753","Benedict Wisoky","laki-laki","11","STS","STS","S","TS","SS","SS","SS","STS","TS","S","TS","STS","SS","S","SS"
"754","Ramon Weber I","laki-laki","10","S","S","SS","S","TS","TS","TS","STS","S","STS","STS","SS","STS","STS","STS"
"755","Prof. Vince Kirlin Jr.","perempuan","10","STS","TS","STS","STS","STS","STS","S","TS","SS","SS","SS","S","STS","S","STS"
"756","Cathy Bednar","laki-laki","10","S","SS","STS","S","SS","TS","SS","TS","S","S","S","S","S","SS","SS"
"757","Mr. Rhett Batz","perempuan","10","S","STS","TS","TS","S","SS","TS","STS","SS","TS","TS","TS","SS","TS","TS"
"758","Rico Kunde","laki-laki","12","TS","SS","TS","SS","STS","STS","TS","SS","S","SS","TS","S","SS","SS","S"
"759","Darion Grant","perempuan","10","S","TS","S","STS","SS","TS","SS","STS","SS","SS","STS","SS","S","S","TS"
"760","Katlynn Sporer DDS","laki-laki","12","S","SS","SS","S","TS","S","SS","STS","SS","STS","TS","S","S","SS","S"
"761","Herbert McDermott","perempuan","11","TS","TS","S","SS","SS","SS","STS","S","SS","TS","STS","STS","STS","SS","S"
"762","Mia Greenholt","perempuan","10","SS","S","TS","S","SS","TS","S","SS","STS","TS","TS","S","TS","TS","TS"
"763","Gerardo Davis","laki-laki","11","STS","SS","SS","S","TS","SS","SS","TS","STS","STS","SS","STS","SS","SS","STS"
"764","Mr. Hugh O'Conner","perempuan","10","STS","TS","STS","S","S","TS","TS","S","STS","S","SS","TS","SS","SS","STS"
"765","Abdullah Skiles","perempuan","10","STS","TS","S","SS","STS","STS","S","S","STS","TS","S","STS","TS","STS","S"
"766","Gregory Mraz","laki-laki","11","SS","S","S","TS","SS","S","S","TS","S","SS","SS","S","STS","TS","TS"
"767","Gabrielle Orn","perempuan","12","S","S","STS","S","S","S","TS","S","TS","TS","SS","TS","TS","S","TS"
"768","Maci Collier","perempuan","11","S","S","S","S","TS","SS","STS","STS","SS","TS","S","STS","STS","S","S"
"769","Ms. Velma Champlin","perempuan","10","S","STS","S","TS","S","SS","STS","TS","TS","STS","STS","S","SS","STS","TS"
"770","Milan Paucek","laki-laki","10","S","STS","TS","SS","TS","S","TS","S","TS","STS","TS","TS","STS","S","STS"
"771","Miss Alysson Lubowitz PhD","perempuan","12","SS","SS","S","SS","TS","SS","STS","TS","S","TS","SS","SS","SS","S","STS"
"772","Rylan Ferry","laki-laki","12","STS","TS","STS","S","SS","TS","SS","TS","S","SS","TS","SS","TS","TS","TS"
"773","Theo Altenwerth","laki-laki","12","STS","SS","STS","STS","S","SS","STS","SS","TS","TS","S","S","SS","S","SS"
"774","Reymundo Jacobs","perempuan","10","S","SS","TS","S","STS","STS","STS","S","S","STS","STS","STS","TS","STS","STS"
"775","Murphy Bechtelar Sr.","perempuan","11","TS","SS","SS","S","S","S","SS","SS","SS","SS","S","SS","S","TS","S"
"776","Cassandre Lesch","perempuan","12","STS","SS","SS","STS","STS","STS","SS","S","STS","SS","SS","SS","S","SS","SS"
"777","Tabitha Muller","laki-laki","12","TS","SS","STS","SS","STS","SS","TS","TS","TS","STS","S","TS","TS","S","STS"
"778","Joshua Kerluke","perempuan","10","S","TS","STS","TS","STS","TS","SS","TS","TS","TS","TS","S","SS","TS","TS"
"779","Rachel Lowe","laki-laki","10","TS","TS","TS","STS","SS","STS","TS","STS","S","TS","TS","SS","S","TS","STS"
"780","Kimberly Cronin","laki-laki","12","TS","TS","S","STS","TS","STS","STS","S","SS","SS","STS","STS","TS","STS","S"
"781","Molly Hudson","laki-laki","11","STS","SS","STS","S","TS","SS","S","TS","SS","STS","STS","S","S","S","STS"
"782","Alanna Crooks IV","laki-laki","10","STS","SS","STS","SS","S","STS","SS","TS","SS","SS","STS","STS","TS","TS","STS"
"783","Aida Swaniawski","perempuan","12","S","TS","S","SS","SS","SS","S","TS","S","STS","STS","S","S","S","TS"
"784","Katherine Barrows","laki-laki","12","TS","SS","SS","SS","TS","SS","TS","SS","STS","SS","TS","S","S","STS","TS"
"785","Deshaun Hirthe","perempuan","11","S","TS","SS","STS","SS","SS","STS","TS","S","STS","TS","S","STS","S","STS"
"786","Danyka Gleichner II","perempuan","11","TS","STS","S","STS","STS","S","SS","STS","TS","SS","S","STS","SS","TS","S"
"787","Zachariah Steuber","laki-laki","11","TS","STS","SS","S","S","STS","STS","TS","TS","SS","TS","STS","S","SS","S"
"788","Gregg Oberbrunner","laki-laki","12","S","STS","S","STS","TS","STS","TS","S","STS","SS","TS","SS","S","TS","TS"
"789","Miss Ashlynn Hills Sr.","laki-laki","11","TS","STS","TS","S","SS","S","STS","S","SS","STS","TS","TS","STS","SS","STS"
"790","Micah Gleichner I","laki-laki","10","STS","STS","STS","S","S","STS","S","STS","S","TS","SS","SS","SS","S","S"
"791","Mr. Pierce Labadie PhD","perempuan","10","STS","TS","TS","S","STS","SS","SS","STS","S","S","STS","S","TS","TS","S"
"792","Sigrid Langosh","perempuan","10","S","SS","STS","S","SS","STS","STS","TS","TS","S","STS","STS","STS","SS","TS"
"793","Paige Langworth","perempuan","12","S","STS","TS","SS","S","STS","SS","TS","S","S","TS","TS","S","TS","S"
"794","Ward Grimes","laki-laki","11","S","SS","S","STS","STS","SS","SS","SS","S","STS","S","STS","TS","S","SS"
"795","Dalton Quitzon","laki-laki","10","TS","TS","STS","S","SS","SS","SS","TS","TS","SS","TS","TS","S","STS","SS"
"796","Ricky Vandervort","laki-laki","12","SS","TS","S","S","SS","TS","SS","TS","TS","TS","S","TS","TS","TS","TS"
"797","Trudie Thiel","perempuan","12","STS","SS","STS","TS","SS","SS","SS","STS","STS","SS","STS","STS","TS","TS","STS"
"798","Miss Edyth Pagac III","laki-laki","12","STS","TS","TS","TS","SS","STS","S","TS","SS","SS","TS","TS","SS","S","STS"
"799","Linnie Gerhold","perempuan","11","S","STS","STS","STS","S","SS","TS","STS","TS","SS","S","S","TS","S","TS"
"800","Abbie Bechtelar","laki-laki","10","TS","STS","SS","SS","STS","SS","SS","STS","STS","SS","TS","SS","S","STS","TS"
"801","Hilton McClure","laki-laki","12","SS","SS","STS","S","SS","SS","SS","S","STS","SS","SS","SS","S","SS","STS"
"802","Chloe Hills","perempuan","12","SS","S","TS","S","STS","STS","STS","S","STS","SS","S","S","S","STS","TS"
"803","Aisha Kulas","perempuan","11","TS","S","S","TS","SS","SS","S","TS","TS","TS","TS","STS","S","STS","SS"
"804","Miss Karina Harvey","laki-laki","11","TS","STS","STS","S","S","S","TS","TS","STS","TS","S","S","STS","STS","SS"
"805","Peter King","laki-laki","10","STS","TS","TS","TS","STS","SS","STS","TS","STS","S","SS","SS","SS","TS","SS"
"806","Adonis Bergnaum","laki-laki","10","SS","S","SS","SS","STS","SS","TS","SS","STS","S","STS","STS","TS","TS","S"
"807","Lucinda Fritsch","perempuan","11","SS","S","TS","S","STS","STS","TS","STS","SS","SS","S","TS","SS","TS","SS"
"808","Prof. Joelle Steuber II","laki-laki","10","STS","S","STS","STS","S","TS","TS","SS","TS","S","S","STS","STS","S","SS"
"809","Amir Becker","laki-laki","10","SS","TS","S","TS","STS","TS","TS","TS","TS","S","S","TS","TS","SS","STS"
"810","Renee Klocko","perempuan","10","SS","S","S","S","TS","STS","TS","STS","S","SS","STS","S","SS","STS","TS"
"811","Prof. Avery Shanahan","perempuan","11","TS","STS","SS","SS","STS","TS","TS","TS","STS","SS","SS","S","STS","SS","TS"
"812","Zola Cronin","laki-laki","10","STS","S","S","TS","SS","S","S","TS","STS","STS","STS","S","SS","S","TS"
"813","Mrs. Marion Mills V","perempuan","11","STS","TS","STS","STS","STS","SS","TS","STS","SS","SS","SS","TS","S","S","S"
"814","Dr. Leon Mann","perempuan","12","TS","TS","S","S","SS","SS","STS","TS","S","S","SS","SS","STS","STS","S"
"815","Eusebio Bruen","perempuan","10","S","S","S","S","TS","SS","TS","TS","STS","SS","TS","SS","TS","S","STS"
"816","Courtney Pouros","perempuan","11","SS","TS","TS","TS","STS","SS","TS","S","S","TS","STS","S","S","STS","S"
"817","Noemie Dicki","perempuan","10","S","STS","TS","TS","SS","S","S","TS","TS","STS","STS","SS","S","SS","STS"
"818","Millie Romaguera IV","laki-laki","11","STS","STS","SS","SS","TS","TS","S","SS","SS","SS","S","TS","S","TS","STS"
"819","Amber Mitchell","laki-laki","11","S","S","STS","SS","TS","S","STS","STS","STS","S","S","S","SS","TS","S"
"820","Aditya Smitham","perempuan","12","STS","STS","SS","STS","TS","TS","STS","S","TS","STS","SS","TS","STS","S","SS"
"821","Ms. Leonie Cummerata DDS","laki-laki","10","SS","TS","S","SS","S","TS","SS","TS","TS","TS","STS","STS","STS","TS","STS"
"822","Ms. Millie Collier","laki-laki","11","SS","TS","STS","STS","TS","S","S","TS","STS","S","S","S","S","SS","SS"
"823","Herminia Hirthe","laki-laki","11","SS","S","SS","STS","STS","SS","STS","SS","STS","STS","TS","S","TS","SS","S"
"824","Lennie Schinner","laki-laki","12","STS","SS","SS","S","STS","TS","SS","STS","STS","S","S","S","S","SS","SS"
"825","Orin Baumbach","laki-laki","11","TS","TS","S","SS","SS","TS","S","S","STS","SS","S","TS","SS","STS","SS"
"826","Dimitri Hoeger","laki-laki","12","TS","STS","S","SS","TS","S","TS","SS","SS","S","TS","SS","SS","S","STS"
"827","Cornelius Weimann","laki-laki","10","STS","TS","SS","STS","STS","STS","S","SS","STS","SS","S","TS","S","TS","SS"
"828","Marlen Stokes IV","perempuan","11","STS","STS","SS","SS","SS","STS","S","STS","SS","TS","STS","S","SS","TS","TS"
"829","Mr. Sherman Hoppe","laki-laki","11","S","SS","STS","TS","STS","SS","SS","S","TS","SS","S","STS","TS","TS","TS"
"830","Oleta Dickinson V","perempuan","11","STS","TS","STS","TS","STS","TS","S","SS","TS","TS","STS","S","TS","STS","S"
"831","Dr. Johnny Barton Sr.","laki-laki","10","SS","STS","STS","STS","S","SS","TS","S","S","SS","TS","S","S","SS","S"
"832","Mr. Maxwell Shields","laki-laki","12","TS","TS","SS","S","STS","SS","SS","TS","S","STS","SS","TS","SS","S","SS"
"833","Roselyn Hintz","perempuan","11","TS","TS","SS","STS","SS","STS","S","SS","TS","TS","TS","TS","TS","SS","S"
"834","Cleve Morar","perempuan","12","TS","SS","S","SS","STS","STS","SS","STS","S","STS","TS","SS","S","STS","SS"
"835","Reed Keebler","laki-laki","12","S","SS","TS","TS","S","TS","SS","SS","STS","S","SS","S","S","TS","S"
"836","Prof. Sidney Stamm","perempuan","12","S","S","TS","STS","SS","STS","S","S","SS","STS","SS","TS","SS","S","SS"
"837","Lydia Collier","perempuan","12","STS","S","TS","STS","S","SS","SS","S","S","S","SS","STS","STS","S","TS"
"838","Rahsaan Herzog V","perempuan","10","TS","TS","STS","TS","SS","S","S","TS","STS","SS","TS","S","S","SS","STS"
"839","Beau Gutmann","laki-laki","10","S","TS","TS","SS","SS","STS","STS","SS","S","TS","STS","S","S","S","S"
"840","Brandyn Tillman","laki-laki","12","S","S","SS","STS","S","S","STS","TS","SS","TS","TS","STS","STS","S","S"
"841","Prof. Harold Armstrong V","perempuan","12","S","TS","STS","S","S","S","S","TS","SS","TS","TS","TS","STS","S","TS"
"842","Katlynn Pollich","perempuan","10","S","SS","SS","TS","TS","S","TS","SS","S","SS","SS","SS","STS","SS","S"
"843","Virgil Dare","laki-laki","11","SS","STS","S","STS","SS","SS","TS","TS","STS","S","STS","TS","TS","SS","S"
"844","Jennifer Watsica Sr.","laki-laki","11","SS","S","STS","TS","STS","TS","S","STS","STS","S","S","SS","STS","STS","STS"
"845","Vivien O'Keefe","laki-laki","11","S","STS","STS","STS","S","STS","S","STS","S","S","S","S","SS","STS","S"
"846","Desmond Cronin","laki-laki","11","S","S","SS","SS","TS","STS","STS","STS","SS","SS","TS","SS","S","TS","SS"
"847","Carolyn Mueller V","perempuan","12","SS","TS","S","S","STS","TS","S","S","S","TS","SS","S","SS","STS","TS"
"848","Granville Steuber","perempuan","12","TS","TS","S","S","TS","TS","SS","SS","STS","S","STS","SS","S","TS","STS"
"849","Christine Gorczany","laki-laki","10","TS","STS","STS","STS","SS","TS","STS","S","STS","STS","SS","SS","S","SS","STS"
"850","Trudie Parker","laki-laki","12","TS","SS","STS","STS","TS","STS","S","S","STS","TS","STS","STS","STS","SS","STS"
"851","Elaina Gusikowski","laki-laki","12","SS","S","SS","SS","TS","SS","SS","TS","TS","S","SS","TS","S","TS","SS"
"852","Dr. Dolores Leffler V","laki-laki","12","STS","STS","STS","SS","STS","SS","SS","TS","STS","SS","TS","TS","SS","STS","TS"
"853","Ila Sporer","perempuan","11","SS","TS","SS","STS","STS","S","TS","S","S","TS","TS","STS","TS","STS","TS"
"854","Walton Renner V","laki-laki","12","STS","S","S","STS","SS","STS","STS","SS","SS","TS","S","S","TS","TS","SS"
"855","Prof. Abner Pagac I","perempuan","11","SS","STS","STS","S","SS","TS","S","STS","SS","TS","SS","TS","S","SS","S"
"856","Clemmie Yundt","laki-laki","12","SS","TS","STS","S","STS","STS","STS","S","S","STS","TS","STS","S","STS","S"
"857","Miss Mollie Kessler","laki-laki","12","SS","STS","TS","S","S","STS","STS","SS","TS","SS","STS","S","SS","SS","SS"
"858","Davonte Schultz Sr.","laki-laki","10","S","SS","STS","TS","SS","S","SS","SS","STS","TS","S","STS","TS","SS","S"
"859","Roger Bosco","laki-laki","10","SS","S","SS","STS","STS","SS","STS","SS","SS","SS","S","TS","SS","STS","S"
"860","Hermina Swift","perempuan","10","STS","SS","STS","S","STS","TS","SS","S","TS","SS","S","STS","TS","TS","TS"
"861","Grant Roob","laki-laki","11","STS","SS","SS","S","STS","TS","S","TS","STS","TS","TS","STS","S","S","SS"
"862","Gino Champlin","laki-laki","11","TS","STS","SS","S","SS","SS","STS","STS","TS","STS","SS","TS","S","TS","SS"
"863","Mrs. Velda Dietrich","perempuan","12","TS","STS","STS","TS","SS","SS","SS","STS","S","TS","S","S","STS","STS","STS"
"864","Mr. Cruz Nienow DVM","perempuan","11","S","S","S","SS","STS","STS","STS","SS","TS","SS","SS","S","S","SS","STS"
"865","Raymundo Hessel","laki-laki","11","S","SS","SS","SS","SS","S","SS","STS","STS","S","S","STS","STS","TS","TS"
"866","Brook Wolf","perempuan","10","S","SS","TS","TS","TS","SS","S","STS","TS","SS","TS","SS","S","STS","TS"
